"","Year","School","G","W","L","W-L%","Rating","SOS","Conf_W","Conf_L","Hm_W","Hm_L","Aw_W","Aw_L","Tm.","Opp.","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF","Pace","ORtg","FTr","3PAr","TS%","TRB%","AST%","STL%","BLK%","eFG%","TOV%","ORB%","FT/FGA","OppFG","OppFGA","OppFG%","Opp3P","Opp3PA","Opp3P%","OppFT","OppFTA","OppFT%","OppORB","OppTRB","OppAST","OppSTL","OppBLK","OppTOV","OppPF","OppPace","OppORtg","OppFTr","Opp3PAr","OppTS%","OppTRB%","OppAST%","OppSTL%","OppBLK%","OppeFG%","OppTOV%","OppORB%","OppFT/FGA","seed","Fir_4","Rnd_64","Rnd_32","Swt_16","Eli_8","Fin_4","Champ","wins"
"21","2018","Iona",34,20,14,0.588,0.76,-2.19,11,7,8,3,7,8,2702,2602,1385,957,2076,0.461,324,846,0.383,462,626,0.738,290,1146,542,229,103,395,587,71.5,109.1,0.302,0.408,0.569,47.2,56.6,9.2,7.6,0.539,14.3,24.3,0.223,969,2102,0.461,267,745,0.358,397,602,0.659,379,1280,505,172,95,464,577,71.5,105.1,0.286,0.354,0.545,52.8,52.1,6.9,7.7,0.525,16.3,30.7,0.189,15,NA,0,NA,NA,NA,NA,NA,0
"22","2018","Kansas State",37,25,12,0.676,12.84,8.74,10,8,14,3,6,5,2630,2478,1485,937,2025,0.463,254,745,0.341,502,684,0.734,299,1136,510,294,110,423,684,66.6,106.3,0.338,0.368,0.56,47.4,54.4,11.9,9.3,0.525,15.3,25.5,0.248,842,1980,0.425,261,791,0.33,533,728,0.732,386,1259,459,208,91,533,673,66.6,100.2,0.368,0.399,0.533,52.6,54.5,8.4,7.1,0.491,18.6,31.6,0.269,9,NA,1,1,1,0,NA,NA,3
"23","2018","Kansas",39,31,8,0.795,21.39,11.87,13,5,14,3,8,3,3174,2803,1565,1165,2366,0.492,391,974,0.401,453,640,0.708,372,1388,649,254,160,456,597,70.3,115.3,0.27,0.412,0.594,50.3,55.7,9.2,10.9,0.575,14.6,28.8,0.191,1031,2419,0.426,315,947,0.333,424,595,0.713,453,1371,500,216,138,501,656,70.3,101.9,0.246,0.391,0.519,49.7,48.5,7.8,9.9,0.491,15.6,30.8,0.175,1,NA,1,1,1,1,0,NA,4
"24","2018","Kentucky",37,26,11,0.703,17.24,10.73,10,8,16,2,4,6,2840,2599,1485,998,2115,0.472,195,546,0.357,649,930,0.698,439,1431,489,208,176,480,702,69.8,109.6,0.44,0.258,0.555,53.6,49,8,13.7,0.518,15.8,35.3,0.307,905,2242,0.404,287,955,0.301,502,725,0.692,437,1240,472,212,134,436,761,69.8,100.3,0.323,0.426,0.502,46.4,52.2,8.2,8.5,0.468,14.4,30.6,0.224,5,NA,1,1,0,NA,NA,NA,2
"25","2018","Lipscomb",33,23,10,0.697,-2.1,-3.8,10,4,13,2,10,7,2708,2564,1340,924,2040,0.453,267,813,0.328,593,826,0.718,346,1276,517,216,102,493,656,77,105,0.405,0.399,0.557,52.2,56,8.4,8,0.518,16.9,28.3,0.291,898,2002,0.449,249,730,0.341,519,751,0.691,292,1169,444,233,144,511,712,77,99.4,0.375,0.365,0.544,47.8,49.4,9,11.7,0.511,17.8,23.9,0.259,15,NA,0,NA,NA,NA,NA,NA,0
"26","2018","Long Island University",35,18,17,0.514,-8.61,-8.19,10,8,12,4,5,11,2696,2674,1405,935,2055,0.455,279,815,0.342,547,786,0.696,367,1327,442,194,111,496,687,72.9,105.3,0.382,0.397,0.555,51,47.3,7.6,7.6,0.523,17,29.6,0.266,973,2209,0.44,242,743,0.326,486,702,0.692,401,1275,458,232,91,423,714,72.9,104.4,0.318,0.336,0.526,49,47.1,9.1,7.3,0.495,14.3,29.5,0.22,16,0,NA,NA,NA,NA,NA,NA,0
"27","2018","Loyola (IL)",38,32,6,0.842,10.38,1.81,15,3,14,1,9,4,2721,2377,1520,995,1963,0.507,277,700,0.396,454,626,0.725,229,1222,594,241,90,472,528,66,108.4,0.319,0.357,0.602,51.3,59.7,9.6,6.8,0.577,17.3,21.8,0.231,877,2118,0.414,254,786,0.323,369,523,0.706,335,1158,439,252,119,484,627,66,94.7,0.247,0.371,0.502,48.7,50.1,10,9.4,0.474,17,25.2,0.174,11,NA,1,1,1,1,0,NA,4
"28","2018","Marshall",36,25,11,0.694,4.21,0.44,12,6,15,2,6,8,3017,2849,1455,1042,2232,0.467,362,1012,0.358,571,747,0.764,288,1287,615,252,209,476,617,76.4,108.6,0.335,0.453,0.583,46.7,59,9.1,12.7,0.548,15.5,22.2,0.256,1059,2399,0.441,265,747,0.355,466,684,0.681,458,1466,539,239,95,515,675,76.4,102.6,0.285,0.311,0.523,53.3,50.9,8.6,7.8,0.497,15.9,31.4,0.194,13,NA,1,0,NA,NA,NA,NA,1
"29","2018","Maryland-Baltimore County",36,25,11,0.694,-2.02,-3.84,12,4,15,2,9,7,2630,2466,1440,926,2088,0.443,364,940,0.387,414,641,0.646,347,1245,547,269,87,440,592,69.2,105.6,0.307,0.45,0.55,49.1,59.1,10.8,7.3,0.531,15.5,26.8,0.198,883,2012,0.439,282,819,0.344,418,618,0.676,339,1289,458,238,96,529,678,69.2,99,0.307,0.407,0.535,50.9,51.9,9.6,8.4,0.509,18.7,27.4,0.208,16,NA,1,0,NA,NA,NA,NA,1
"30","2018","Miami (FL)",32,22,10,0.688,12.83,6.96,11,7,11,3,8,4,2361,2173,1290,875,1881,0.465,247,678,0.364,362,547,0.662,317,1113,424,210,130,367,518,67.8,107.9,0.291,0.36,0.551,50.6,48.5,9.6,11,0.531,14.6,29.1,0.192,794,1841,0.431,215,655,0.328,368,517,0.712,314,1088,423,182,108,412,526,67.8,99.3,0.281,0.356,0.521,49.4,53.3,8.3,9,0.49,16.5,28.3,0.2,6,NA,0,NA,NA,NA,NA,NA,0
